schoolid,newmetho,enthusia,cnsensus,cndition,encourag,momeduc,dadeduc,perteach,enjoy,importnt,mathscor
1,4,4,3.5,1.71,4,6,3,4,2,2.75,480.17
1,4,4,3.5,1.71,4,2,3,3.6,3.5,3.75,532.98
1,4,4,3.5,1.71,4,3,3,4,3.25,3.5,492.79
1,4,4,3.5,1.71,4,3,3,4,3.75,4,634.94
1,4,4,3.5,1.71,4,3,3,4,2,2.25,382.65
1,4,4,3.5,1.71,4,6,5,3,2.5,2.75,529.86
1,4,4,3.5,1.71,4,6,6,3,2,3,674.67
1,4,4,3.5,1.71,4,3,3,3,3.75,3,618.59
1,4,4,3.5,1.71,4,4,4,3,3,3,625.99
1,4,4,3.5,1.71,4,3,3,3.6,1.75,3,449.95
1,4,4,3.5,1.71,4,3,3,3,2.5,3,679.11
1,4,4,3.5,1.71,4,4,3,3,3.25,3.75,682.93
1,4,4,3.5,1.71,4,6,6,3.2,3,3,576.76
1,4,4,3.5,1.71,4,3,3,3,3,3.5,519.12
1,4,4,3.5,1.71,4,3,3,3.8,3.5,3.75,501.28
1,4,4,3.5,1.71,4,5,4,3,2.5,3,459.14
1,4,4,3.5,1.71,4,3,3,4,1.75,3.25,589.3
1,4,4,3.5,1.71,4,,,,,,444.18
1,4,4,3.5,1.71,4,6,6,4,2.5,3,599.58
1,4,4,3.5,1.71,4,6,6,1.4,1,2.5,524.8
1,4,4,3.5,1.71,4,3,3,4,2.75,2.5,521.45
1,4,4,3.5,1.71,4,3,3,3,2.25,2.75,466.38
1,4,4,3.5,1.71,4,6,3,3.8,1.75,3,593.27
1,4,4,3.5,1.71,4,4,5,3,2.75,3,312.07
1,4,4,3.5,1.71,4,3,3,3,2.75,3,480.71
1,4,4,3.5,1.71,4,3,3,3,2,2.75,615.08
1,4,4,3.5,1.71,4,3,3,3,3.75,4,576.91
1,4,4,3.5,1.71,4,5,6,3,3,3,612.67
2,3,3.25,3.5,1,3,6,6,3,2.75,3,573.02
2,3,3.25,3.5,1,3,2,2,2.8,1,1.5,555.18
2,3,3.25,3.5,1,3,3,3,2.4,1.25,3,385.29
2,3,3.25,3.5,1,3,6,3,1.8,1,1.5,419.18
2,3,3.25,3.5,1,3,3,2,3,3.5,3.5,501.2
2,3,3.25,3.5,1,3,3,3,1.8,1,1,552.38
2,3,3.25,3.5,1,3,6,6,2.2,1,1.75,469.89
2,3,3.25,3.5,1,3,3,3,1.8,1,2,577.85
2,3,3.25,3.5,1,3,4,3,3,1.25,3.5,552.77
2,3,3.25,3.5,1,3,4,4,3,1.25,3,411.08
