SC17Q01,SC17Q02,SC17Q03,SC17Q04,SC17Q05,SC17Q06,SC17Q07,SC17Q08,SC17Q09,SC17Q10,SC17Q11,SC17Q12,SC17Q13
2,3,2,1,2,2,3,2,3,2,2,2,2
2,2,2,2,2,2,2,2,2,1,2,2,1
2,2,2,2,3,2,2,2,3,2,2,2,2
2,3,2,3,1,1,2,4,2,2,1,2,2
2,1,1,1,2,1,1,1,2,1,1,1,1
3,3,2,2,3,2,2,3,3,2,2,2,2
2,3,2,3,2,3,3,3,2,3,2,3,2
3,2,2,2,2,2,3,2,2,2,2,2,2
2,2,1,1,2,2,2,2,3,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,2,1,1,1,1
1,3,1,2,1,1,2,2,2,2,2,2,1
3,4,2,2,2,2,2,2,2,3,1,2,2
2,3,2,2,3,3,2,2,3,2,2,2,2
3,4,2,3,3,3,3,3,3,3,2,3,2
3,3,3,3,3,2,3,3,3,2,2,2,3
2,2,2,2,1,2,2,2,2,2,2,2,1
4,3,3,2,3,2,2,3,2,2,2,2,3
2,4,2,3,2,1,3,3,3,2,2,2,2
2,4,3,2,3,2,3,3,3,2,2,3,3
3,3,2,2,2,2,1,2,2,2,2,2,2
2,3,2,2,2,2,3,3,2,1,1,2,1
2,3,2,3,3,2,2,3,2,2,2,2,2
2,2,1,1,2,1,1,1,1,2,1,1,1
3,3,2,2,3,2,2,2,3,3,1,2,2
2,2,2,2,2,1,1,2,2,1,2,2,2
2,3,2,2,3,2,3,2,3,2,2,2,2
1,3,1,2,2,2,2,1,1,2,2,2,1
2,3,2,3,2,2,3,2,2,2,2,2,2
2,3,2,2,2,1,2,2,3,3,2,3,3
2,4,2,2,3,1,1,3,3,2,2,2,2
2,4,2,2,2,3,3,3,2,3,1,2,2
1,2,2,2,2,1,2,2,2,2,1,2,1
2,4,2,2,2,2,3,2,2,3,2,2,2
2,2,2,2,1.52408869496299,2,2,2,1,2,2,1,2
3,4,3,3,3,3,3,3,3,2,2,2,2
3,2,1,1,2,1,2,2,2,1,1,2,3
1,4,2,2,2,1,4,2,3,3,2,2,1
2,2,2,2,2,2,3,2,2,2,1,2,2
2,2,1,2,1,1,1,2,1,2,1,2,1
2,2,2,3,2,1,2,2,1,2,1,2,2
3,4,2,2,3,2,4,3,3,2,2,2,2
2,2,2,2,2,2,2,2,2,1,2,2,2
1,2,1,2,1,1,1,1,2,2,1,2,1
2,3,3,3,2,3,2,3,3,2,3,3,2
2,4,2,2,2,2,3,2,2,3,2,2,2
2,2,2,2,3,1,2,2,3,2,1,2,1
1,2,2,2,2,2,2,2,2,3,2,2,2
3,4,2,3,3,3,4,3,3,2,1,2,2
2,2,2,2,2,2,2,2,2,2,1,2,2
1,3,2,2,1,2,2,2,1,2,1,3,2
2,4,2,4,2,2,4,4,3,3,1,4,2
1,2,2,2,2,2,2,3,3,2,3,2,1
2,3,2,2,2,2,3,2,2,2,2,2,2
2,2,2,2,2,2,2,2,3,2,2,2,2
2,3,2,2,2,2,2,2,2,2,2,2,2
1,2,1,2,1,1,1,2,2,1,1,2,2
1,3,1,2,1,1,2,2,2,3,1,2,1
2,3,2,2,2,2,3,2,2,3,2,2,2
1,3,2,1,2,2,2,2,3,2,2,2,3
1,3,2,2,2,2,2,2,2,2,2,2,2
2,3,2,2,2,2,3,2,2,3,1,2,1
2,3,3,3,2,2,3,3,3,3,2,3,2
3,3,2,2,3,2,2,3,3,3,3,2,3
1,4,2,3,3,1,4,3,2,3,1,2,2
1,2,1,1,2,1,1,1,2,1,2,2,1
2,3,2,1,2,1,2,1,2,2,2,1,1
3,3,1,2,3,1,2,2,2,1,1,1,1
2,4,2,3,3,3,4,3,3,3,2,2,2
3,3,2,2,2,2,2,2,2,1,1,2,2
3,4,2,2,2,3,3,3,2,2,2,2,2
2,2,2,2,2,2,1,1,1,2,2,2,2
2,3,2,2,2,2,3,2,2,2,2,2,2
1,2,1,2,2,2,1,3,2,2,1,2,1
2,2,1,1,2,2,3,2,4,2,2,2,2
2,3,2,1,2,1,1,2,3,1,1,1,3
3,3,3,2,3,1,2,2,4,2,2,2,3
3,2,1,2,2,2,1,2,2,2,1,2,1
1,3,2,2,2,2,2,2,3,2,1,2,1
2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,2,2,2,2,2,2,3,2,2,2,2
3,3,3,2,3,1,3,2,3,2,1,2,3
3,4,2,3,3,2,3,2,2,2,2,2,3
3,3,2,3,3,2,4,3,2,2,1,2,2
2,3,2,2,3,2,2,2,3,2,2,2,3
2,2,2,1,2.06697708037687,2.17036551564722,.719404885248549,1.313386186879,2.6355746756267,2,2.32914116428831,1.70155618401522,1.39527684778852
2,3,2,2,2,2,3,3,2,3,2,3,1
2,3,2,2,3,1,3,2,2,2,2,2,3
3,3,3,3,3,3,3,3,3,2,3,3,3
3,3,3,2,2,2,3,3,2,3,2,3,3
2,2,2,2,2,1,1,1,2,1,2,2,3
2,1,1,2,2,1,1,1,2,2,2,2,1
1,1,1,1,1,1,2,2,2,1,1,1,2
1,3,1,2,1,2,2,2,1,2,1,2,1
2,2,1,2,2,1,3,2,2,1,2,1,1
2,3,2,2,2,2,3,2,3,2,2,2,2
2,3,1,1,2,1,1,1,1,1,1,2,1
3,2,2,2,2,2,2,2,3,2,3,2,3
4,4,4,3,3,4,4,4,4,2,1,1,3
1,2,2,2,2,2,1,2,2,2,1,2,1
2,2,2,2,3,2,2,3,3,2,3,2,3
2,3,2,2,3,1,3,2,2,2,1,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,3,3,2,2,2,2
2,3,2,2,2,2,3,2,2,1,1,2,2
1,3,1,2,1,1,3,2,1,1,1,2,1
2,2,1,1,2,2,2,2,2,2,2,2,2
3,3,2,2,3,2,2,2,2,3,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2
2,3,2,2,2,1,2,2,2,2,2,2,2
1,3,1,2,2,2,1,1,2,1,1,1,1
3,2,1,2,2,2,1,1,2,2,2,2,3
1,2,1,1,1,2,2,1,1,1,1,1,1
2,4,2,2,2,1,2,2,3,2,2,2,2
1,1,1,1,1,1,2,2,1,1,1,1,1
1,2,2,2,2,2,1,2,2,2,2,2,2
1,3,1,3,2,2,2,2,2,2,2,2,1
2,3,2,3,3,2,3,2,3,2,2,2,3
3,2,2,2,3,2,2,2,3,2,2,2,2
4,3,4,4,4,2,3,3,4,2,2,2,3
1,4,3,3,1,1,1,1,1,1,2,1,1
2,3,2,2,2,2,3,2,3,2,2,2,2
3,3,3,2,2,2,2,2,2,2,1,2,2
1,3,2,2,3,1,2,2,2,3,2,2,2
1,2,2,1,2,1,1,2,2,2,2,2,1
2,3,2,3,2,2,3,3,1,2,2,3,2
1,2,2,2,2,2,2,2,2,2,2,2,1
2,2,1,2,2,1,2,1,2,4,1,2,1
2,2,2,2,2,1,2,2,2,2,1,2,2
2,2,2,3,2,1,2,3,2,2,2,2,2
2,3,2,2,2,2,1,2,3,2,2,2,2
1,3,2,3,2,1,2,2,2,3,1,2,2
2,2,2,2,2,2,2,2,3,2,2,2,2
4,4,4,2,2,2,3,3,4,2,3,3,3
2,2,1,2,2,1,2,1,2,3,1,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,3,2,2,2,3,2,2,2,3
2,2,2,2,2,2,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2,2,2,2,2
1,2,1,2,2,2,2,2,2,2,2,2,1
3,3,3,3,3,3,3,3,3,2,2,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,2,2,2,2,3,2,3,2,2,2,1
2,3,2,1,2,2,2,1,1,3,1,2,2
3,3,3,4,4,3,3,3,3,3,2,3,3
3,3,2,2,3,2,2,2,2,2,3,2,2
3,1,2,1,1,2,2,2,2,1,2,1,1
1,3,2,2,2,2,2,2,2,3,2,2,1
2,2,2,1,2,2,2,2,2,3,2,1,2
2,3,2,2,2,1,4,3,2,2,2,3,1
1,2,2,2,2,2,2,2,2,2,2,2,1
2,2,2,2,3,2,2,2,2,1,2,2,2
3,4,2,2,2,3,2,2,3,3,2,2,3
2,3,1,1,2,2,2,1,2,3,1,2,1
2,3,2,2,2,2,2,2,2,3,2,2,2
3,3,2,2,2,2,2,2,2,2,1,2,2
2,3,2,3,3,1,2,2,3,2,1,2,2
1,3,2,2,3,3,3,2,2,2,2,2,1
2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,2,3,3,2,2,2,3
3,4,3,3,3,3,3,3,3,2,2,2,2
2,2,2,2,2,2,2,2,2,1,1,2,1
1,2,1,1,2,1.3776953517106,2,2,2,2,1,1.39739423420535,2
