gender,sciach1,sciach2,sciach3,sciach4,sciach5
1,61.23,67.65,69.97,67.01,72.16
1,51.87,63.23,56.92,57.88,60.15
0,55.48,62.33,56.1942100943784,56.8397948260481,76.5
0,57.95,61.72,67.57,62.15,70.32
0,65.73,53.89,56.1942100943784,60.61,71.54
0,54.1,60.81,53.75,53.04,59.33
0,57.64,70.14,56.1942100943784,59.91,58.9703812636165
0,58.66,58.95,63.65,57.06,67.19
1,52.51,51.45,56.1942100943784,56.39,39.71
1,71.45,65.44,71.17,71.62,58.9703812636165
0,53.96,57.81,56.53,61.6,65.24
0,49.72,45.96,58.57,63.36,60.57
0,49.22,57.34,58.6,65.77,63.69
0,50.18,55.8,58.86,65.77,63.69
0,61.22,58.96,56.1942100943784,63.66,58.9703812636165
0,44.57,58.73,62.95,59.97,63.34
0,53.04,61.92,56.1942100943784,56.8397948260481,58.9703812636165
1,42.44,33.77,56.1942100943784,47.45,41.9
1,49.01,43.99,49.24,51.17,54.1
1,73.27,70.02,81.27,75.72,58.9703812636165
1,42.14,30.98,54.71,56.01,57.01
0,51.22,54.87,59.42,56.8397948260481,71.57
0,54.21,43.64,50.81,55.06,60
0,65.58,60.43,63.41,60.07,69.13
0,54.98,53.17,62.23,56.97,54.53
1,38.86,38.42,49.36,30.83,35.23
1,44.39,47.56,56.56,43.2,55.6
0,43.28,39.92,45.58,56.8397948260481,58.9703812636165
0,41.67,40.32,46.73,56.8397948260481,47.13
0,38.31,26.16,33.22,24.73,58
1,50.39,55.97,53.09,49.07,57.65
1,39.98,37.77,56.1942100943784,35.48,51.33
1,39.49,44.8,56.1942100943784,33.75,58.9703812636165
0,45.26,41.88,59.37,42.24,44.87
0,43.43,21.91,56.1942100943784,56.8397948260481,58.9703812636165
1,44.11,46.49,47.92,48.15,44.9
1,60.25,63.93,61.38,66.5,64.33
1,35.62,39.15,45.76,49.45,36.85
0,51.2,55.17,62.9,55.13,57.22
0,37.46,51.42,52.5,58.6,61.61
1,42.24,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,50.54,49.25,44.32,52.31,58.9703812636165
1,35.72,43.63,39.99,35.59,54.73
0,34.73,45.45,37.51,43.56,44.77
1,41.75,41.4,56.59,52.54,58.9703812636165
1,49.1,54.69,56.1942100943784,56.8397948260481,58.9703812636165
1,50.95,47.83,58.07,62.18,58.9703812636165
0,41.46,44.91,44.87,56.8397948260481,58.9703812636165
1,44.65,32.41,56.1942100943784,56.8397948260481,58.9703812636165
1,38.72,32.11,41.14,56.8397948260481,58.9703812636165
1,49.57,40.77,46.97,56.8397948260481,58.9703812636165
0,45.43,39.31,56.1942100943784,56.8397948260481,58.9703812636165
1,52.39,21.9,56.1942100943784,36.17,58.9703812636165
1,38.26,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,41.95,27.72,37.56,56.8397948260481,58.9703812636165
0,64.55,68.2,69.33,69.11,78.66
1,46.73,37.71,49.84,47.84,53.69
1,43.82,39.74,49.42,39.55,58.9703812636165
0,39.28,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,42,52.37,41.04,28.94,50.79
1,59.57,20.19,56.1942100943784,56.8397948260481,28.91
1,40.86,40.4,56.1942100943784,56.8397948260481,58.9703812636165
1,35.77,39.87,56.1942100943784,56.8397948260481,58.9703812636165
0,42.8,52.0369003285871,61.09,45.46,58.9703812636165
0,41.7,40.56,54.03,67.07,54.41
1,33.87,29.87,36.54,56.8397948260481,58.9703812636165
1,52.07,58.1,56.1942100943784,56.8397948260481,58.9703812636165
0,40.06,50.71,56.66,58.3,57.66
1,29.73,25.18,38.99,37.47,48.06
0,32.92,41.94,44.65,56.8397948260481,58.9703812636165
0,36.13,39.13,37.81,41.32,58.9703812636165
1,37.32,25.49,44.77,56.8397948260481,58.9703812636165
0,50.02,54.14,47.88,41.06,58.9703812636165
0,51.25,60.13,56.1942100943784,56.8397948260481,58.9703812636165
1,38.09,60.5,47.6,42.68,58.9703812636165
1,43.77,50.34,49.95,42.08,58.9703812636165
1,41.45,50.7,56.1942100943784,56.8397948260481,58.9703812636165
0,39.87,52.0369003285871,47.39,56.8397948260481,58.9703812636165
0,26.14,33.86,56.1942100943784,49.95,49.45
0,40.05,35.07,38.1,40.26,37
1,36.28,42.25,56.1942100943784,45.64,58.9703812636165
1,35.01,47.16,31.46,41.98,45.14
1,40.3,39.24,51.92,56.8397948260481,58.9703812636165
0,51.08,63.66,56.1942100943784,56.8397948260481,58.9703812636165
1,40.06,29.45,56.1942100943784,37.72,58.9703812636165
0,41.75,34.32,37.81,40.75,58.9703812636165
0,34.54,53.63,56.1942100943784,56.8397948260481,58.9703812636165
0,36.95,49.45,43.62,44.45,58.9703812636165
1,29.34,27.06,56.1942100943784,56.8397948260481,58.9703812636165
0,46.34,63.95,64.38,65.51,71.63
1,27.83,34.35,56.1942100943784,56.8397948260481,58.9703812636165
1,51.5,29.6,45.73,56.8397948260481,58.9703812636165
1,46.72,54.18,56.1942100943784,56.8397948260481,58.9703812636165
1,35.23,42.22,56.1942100943784,56.8397948260481,58.9703812636165
1,35.73,34.14,43.81,28.71,58.9703812636165
1,37.3,33.48,56.1942100943784,30.03,38.97
0,38.43,47.38,48.97,56.8397948260481,52.25
1,56.72,52.03,48.77,56.8397948260481,58.9703812636165
1,45.32,38.96,56.1942100943784,58.73,58.9703812636165
0,31.98,30.19,41.42,29.92,26.21
1,35.59,28.94,41.79,47.2,38.81
1,31.7,36.54,56.1942100943784,56.8397948260481,58.9703812636165
1,50.71,54.55,58.34,67.4,70.83
1,40.12,32.33,56.1942100943784,56.8397948260481,58.9703812636165
1,40.72,43.77,56.1942100943784,56.8397948260481,58.9703812636165
1,46.49,46.21,56.1942100943784,56.8397948260481,58.9703812636165
1,46.73,60.8,63.02,64.8,59.17
1,31.13,59.03,59.49,56.8397948260481,58.9703812636165
1,50.3450864600325,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,44.62,50.86,56.1942100943784,50.55,64.19
1,47.07,50.54,53.52,56.8397948260481,58.9703812636165
1,34.69,26.21,56.1942100943784,56.8397948260481,58.9703812636165
0,43.23,39.19,56.1942100943784,56.8397948260481,58.9703812636165
1,31.27,41.99,56.1942100943784,56.8397948260481,58.9703812636165
1,46.45,60.06,56.1942100943784,48.04,58.9703812636165
1,35,45.78,56.1942100943784,42.94,58.9703812636165
1,41.13,50.22,42.71,42.93,58.9703812636165
1,40.09,55.87,46.91,54.57,54.57
0,44.34,55.09,44.33,43.34,49.18
1,42.49,46.02,44.97,53.71,57.7
0,30.6,39.02,56.1942100943784,56.8397948260481,58.9703812636165
0,54.06,57.62,64.24,56.8397948260481,58.9703812636165
1,45.14,40.32,56.1942100943784,56.8397948260481,58.9703812636165
1,41.57,45.55,56.1942100943784,56.8397948260481,58.9703812636165
1,54.39,44.18,56.61,54.56,58.9703812636165
0,38.26,27.29,44.78,56.8397948260481,58.9703812636165
0,31.69,41.74,59.21,50.8,58.9703812636165
1,43.6,36.6,56.1942100943784,57.68,58.9703812636165
0,44.5,54.22,43.32,56.8397948260481,58.9703812636165
1,44.43,25.82,56.1942100943784,56.8397948260481,58.9703812636165
0,40.55,36.13,41.42,42.04,41.48
0,50.63,36.59,55.97,48.8,58.9703812636165
0,49.49,51.16,56.1942100943784,57.84,58.9703812636165
0,59.07,64.04,56.1942100943784,58.36,58.9703812636165
1,44.97,32.31,56.1942100943784,56.8397948260481,58.9703812636165
0,43.39,37.79,56.1942100943784,56.8397948260481,58.9703812636165
1,37.17,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,38.28,28.52,34.05,56.8397948260481,58.9703812636165
0,44.86,48.11,56.1942100943784,56.8397948260481,58.9703812636165
0,33.31,30.58,56.1942100943784,56.8397948260481,58.9703812636165
1,36.9,30.39,31.15,35.18,58.9703812636165
1,47.57,42.56,45.43,55.58,52.05
0,35.58,37.41,46.93,56.8397948260481,58.9703812636165
0,40.32,33.8,42.18,29.48,31.69
0,26.73,27.67,33.35,56.8397948260481,58.9703812636165
1,54.4,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,37.32,39.21,56.1942100943784,54.48,58.9703812636165
1,38.4,48.24,56.1942100943784,43.82,58.9703812636165
0,37.8,40.61,56.1942100943784,56.8397948260481,58.9703812636165
1,53.95,47.32,56.1942100943784,56.8397948260481,58.9703812636165
1,30.9,33.33,56.1942100943784,56.8397948260481,58.9703812636165
1,38.64,31.02,56.1942100943784,56.8397948260481,58.9703812636165
0,47.29,45.26,49.72,47.22,53.74
1,38.04,41.37,56.1942100943784,56.8397948260481,58.9703812636165
1,42.8,52.0369003285871,62.47,49.46,37.78
1,47.35,43.38,56.1942100943784,56.8397948260481,58.9703812636165
1,37.81,52.0369003285871,56.1942100943784,48.93,58.9703812636165
0,40.73,48.36,62.27,51.33,58.9703812636165
1,38.06,36.59,56.1942100943784,56.8397948260481,58.9703812636165
1,30.55,36.24,36.17,45.99,45.95
1,34,27.57,56.1942100943784,56.8397948260481,58.9703812636165
1,31.76,22.42,56.1942100943784,56.8397948260481,58.9703812636165
0,55.05,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,37.79,44.51,56.1942100943784,56.8397948260481,58.9703812636165
1,47.89,51.38,38.43,56.8397948260481,58.9703812636165
1,51.35,61.47,56.1942100943784,56.8397948260481,58.9703812636165
0,33.71,52.0369003285871,56.1942100943784,52.64,41.16
0,31.17,34.72,41.24,41.45,58.9703812636165
0,31.09,30.78,56.1942100943784,40.58,58.9703812636165
1,37.67,46.98,49.05,56.8397948260481,58.9703812636165
0,34.99,39.85,39.5,40.66,58.9703812636165
1,39.45,40.02,32.58,56.8397948260481,58.9703812636165
1,34.57,39.83,47.51,44.02,49.37
0,43.08,44.97,56.1942100943784,56.8397948260481,58.9703812636165
0,32.58,29.51,56.1942100943784,56.8397948260481,58.9703812636165
0,42.53,39.94,55.63,56.8397948260481,58.9703812636165
1,40.64,38.34,56.1942100943784,26.45,51.85
1,47.42,52.0369003285871,60.59,52.3,59.66
1,56.64,52.5,56.1942100943784,56.8397948260481,54.84
0,40.19,40.3,56.1942100943784,56.8397948260481,58.9703812636165
1,53.66,47.2,56.1942100943784,56.48,58.9703812636165
0,58.29,54.94,69.47,69.9,74.84
0,65.04,68.63,69.93,67.02,68.77
0,57.74,55.89,56,62.22,53.91
1,64.62,56.83,64.21,56.8397948260481,58.9703812636165
1,44.42,33.87,46.97,56.8397948260481,29.78
0,50.23,54.05,63.71,63.35,51.35
0,57.2,62.61,67.19,66.32,65.8
1,38.77,55.14,56.38,61.27,62.78
1,58.36,52.0369003285871,65.08,67.16,49.28
1,66.84,69.18,77.22,56.8397948260481,58.9703812636165
1,37.6,52.0369003285871,34.39,56.8397948260481,58.9703812636165
1,62.16,64.14,70.49,60.45,58.9703812636165
1,47.32,30.2,48.7,55.72,58.9703812636165
0,48.43,41.66,66.17,45.72,57.3
1,68.26,62.76,63.3,61.84,75.23
1,60.51,60.31,71.58,56.8397948260481,58.9703812636165
0,61.39,55.18,62.24,56.8397948260481,58.9703812636165
0,61.29,54.85,59.56,56.8397948260481,58.9703812636165
1,70.89,70.15,75.53,83.21,58.9703812636165
1,83.49,81.32,81.39,92.99,57.21
1,42.88,27.27,56.1942100943784,56.8397948260481,58.9703812636165
1,48.7,58.85,61.7,69.73,58.9703812636165
0,62.93,55.57,55.94,59.56,49.15
1,62.09,45.11,64.78,62.84,63.59
0,53.66,56.39,54.46,66.14,61.75
1,53.9,52.6,65.17,63.82,71.76
0,41.49,51.61,54.13,55.5,54.51
0,47.6,56.65,55.81,48.06,32.88
0,62.19,66.05,72.76,69.37,72.46
0,55.07,46.69,59.64,56.8397948260481,45.91
0,50.71,42.2,55.4,51.14,62.72
0,63.61,63.86,66.73,69.57,73.49
0,45.08,48.1,62.17,56.34,61.33
0,60.06,60.56,55.13,56.8397948260481,58.9703812636165
1,49.58,51.72,63.08,61.32,48.07
1,45.95,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,45.71,46.79,43.47,56.8397948260481,38.23
1,50.37,59.38,56.1942100943784,56.8397948260481,58.9703812636165
1,66.97,48.67,68.08,65.42,72.98
1,67.65,46.28,68.5,70.1,58.9703812636165
1,38.75,36.32,31.79,34.24,58.9703812636165
1,49.81,54.1,57.46,51.66,59.14
1,59.04,50.39,61.19,61.78,61.65
0,41.66,52.35,52.14,52.42,58.24
1,60.4,65.61,60.86,68.38,61.1
0,61.25,61.71,63.16,53.11,73.01
0,48.99,62.34,42.9,57.68,58.05
0,51.23,50.87,49.66,55.65,53.51
1,53.6,65.21,64.63,71.24,73.25
1,75.02,67.54,68.16,78.39,80.53
1,63.67,65.4,69.91,69.89,76.21
0,51.7,57,63.02,55.7,53.2
0,47.95,61.18,53.71,48.6,56.66
0,49.3,52.05,58.01,49.5,58.9703812636165
0,51.53,57.04,52.8,50.59,27.3
0,62.78,63.96,70.12,67.12,58.9703812636165
0,51.37,56.72,51.37,64.74,58.9703812636165
0,53.17,61.84,62.57,60.46,67.03
0,55.88,60.33,52.43,65.44,50.85
1,53.46,26.35,56.1942100943784,56.8397948260481,58.9703812636165
1,48.33,27,56.1942100943784,64.29,58.9703812636165
0,52.98,53.24,63.2,60.95,69.65
0,55.9,64.84,66.45,63.39,64.47
0,42.18,25.01,45.46,56.23,60.91
0,51.58,56.16,61.07,62.78,61.76
0,56.49,62.93,62.79,63.79,63.84
1,68.94,74,88.28,79.63,83.66
0,60.65,63.07,65.97,61.62,66.79
1,51.03,63.54,71.01,74.12,72.67
0,45.43,50.65,41.07,56.8397948260481,58.9703812636165
0,49.98,52.79,55.61,72.33,56.27
0,69.7,63.95,67.58,71.27,73.62
1,62.48,62,67.98,66.79,73.77
0,59.84,52.0369003285871,51.3,66.66,62.97
1,60.36,66.45,61.16,65.62,76.3
1,62.87,67.46,74.76,76.04,78.46
1,55.54,72.25,68.01,74.9,76.56
1,69.7,70,75.94,76.82,85.87
1,76.55,71.33,80.71,72.92,91.5
0,61.75,67.86,56.1942100943784,78,81.66
0,56.56,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,62.43,56.99,56.1942100943784,56.8397948260481,58.9703812636165
0,64.83,66.31,65.29,70,74.37
0,59.83,68.03,56.1942100943784,68.21,68.01
0,65.94,72.34,75.81,77.16,78.13
0,62.82,64.97,77.87,67.64,58.9703812636165
0,53.76,60.57,61.52,63.59,66.66
1,53.06,65.91,56.1942100943784,56.8397948260481,58.9703812636165
0,58.63,65.09,68.72,70.83,71.88
0,62.19,53.82,66.68,68.99,69.48
0,48.92,63.83,66.94,72.58,65.68
1,48.71,58.29,60.71,68.24,74.54
1,59.84,58.83,56.1942100943784,65.07,56.03
1,40.54,49.04,42.62,41.31,58.9703812636165
1,57.9,51.8,56.1942100943784,66.04,58.9703812636165
1,51.93,59.93,52.32,56.8397948260481,58.9703812636165
1,30.63,45.2,56.1942100943784,56.8397948260481,58.9703812636165
1,41.78,54.36,61.48,61.29,59.26
0,55.73,64.15,64.83,67.95,63.51
0,61.44,59.94,41.59,41.75,43.66
0,54.04,70.18,56.1942100943784,61.98,62.42
0,52.4,59.41,68.73,69.73,58.9703812636165
0,64.64,67,76.9,58.62,70.26
1,58.16,55.48,41.1,51.32,52.83
1,57.59,64.42,55.08,63.8,62.23
0,56.96,49.02,56.97,58.36,55.93
0,53.82,52.0369003285871,51.19,36.62,58.9703812636165
0,41.73,55.43,47.29,56.8397948260481,58.9703812636165
1,55.1,61.86,57.4,62.19,76.3
1,48.86,39.53,40.57,64.49,57.68
1,39.23,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,36.94,44.22,56.1942100943784,31.25,43.57
0,48.36,45.3,36.72,56.8397948260481,58.9703812636165
0,57.81,58.26,61.28,56.8397948260481,58.9703812636165
0,50.18,53.11,48.73,48.44,42.93
0,40.04,50.27,39.77,53.17,41.11
1,50.02,45.56,34.7,34.19,58.9703812636165
1,38.63,43.1,56.1942100943784,56.8397948260481,33.71
1,70.72,63.97,70.25,76.25,72.5
1,31.61,28.39,48.28,38.04,30.25
1,48.63,35.66,29.61,56.8397948260481,58.9703812636165
1,45.46,52.0369003285871,57.83,56.8397948260481,58.9703812636165
0,42.35,35.69,45.55,56.8397948260481,58.9703812636165
0,49.75,56.79,43.46,56.8397948260481,58.9703812636165
0,42.77,39.14,37.68,56.8397948260481,58.9703812636165
1,80.08,71.36,78.64,78.92,85.94
1,69.34,70.8,56.1942100943784,77.03,68.73
0,62.78,69.29,45.98,58.84,58.9703812636165
0,63.05,71.39,67.75,71.87,58.9703812636165
0,67.04,70.2,61.97,56.8397948260481,58.9703812636165
1,56.24,66.66,40.29,56.8397948260481,58.9703812636165
1,41.59,52.0369003285871,36.25,56.8397948260481,40.23
1,43.87,50.31,49.29,47.69,38.69
0,35.34,48.73,56.1942100943784,58.37,58.9703812636165
0,35.06,42.04,52.57,56.8397948260481,58.9703812636165
0,58.89,56.05,40.77,56.8397948260481,58.9703812636165
0,53.6,53.32,42.34,56.8397948260481,58.9703812636165
0,48.55,69.21,52.44,65.54,58.9703812636165
0,45.95,45.29,50.07,48.6,55.3
0,49.61,45.63,52.2,57.79,58.9703812636165
0,67.3,73.21,70.35,72.7,34.6
0,56.55,58.58,67.15,62.22,55.4
1,60.24,69.21,67.49,52.14,41.4
0,43.33,37.94,52.15,39.47,58.9703812636165
1,57.06,65.41,66.49,56.8397948260481,58.9703812636165
1,66.36,61.19,65.77,56.8397948260481,58.9703812636165
0,62.57,52.0369003285871,64.38,64.66,73.03
1,48.01,31.07,38.06,56.8397948260481,58.9703812636165
1,50.3450864600325,37.14,52.24,42.63,51.91
1,37.49,52.0369003285871,36.96,30.15,26
0,46.86,54.18,52.56,52.03,50.99
1,58.54,60.47,63.92,64.65,69
1,38.35,23.4,46.74,56.8397948260481,58.9703812636165
0,50.88,39.77,56.1942100943784,56.8397948260481,58.9703812636165
1,45.47,45.3,40.42,46.89,58.9703812636165
1,41.04,52.0369003285871,56.1942100943784,50,57.27
1,48.76,42.47,64.26,51.38,63.81
0,33.99,35.66,50.99,37.54,58.9703812636165
1,59.98,60.32,65.47,56.8397948260481,58.9703812636165
1,50.81,58.34,56.77,56.8397948260481,58.9703812636165
1,55.87,33.67,62.26,57.14,58.9703812636165
1,38.81,39.6,42.9,56.8397948260481,48.94
0,56.1,60.37,51.04,56.8397948260481,58.9703812636165
1,55.18,34.62,62.06,56.8397948260481,58.9703812636165
0,50.3450864600325,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,50.3450864600325,52.0369003285871,56.1942100943784,59.94,58.9703812636165
0,46.93,39.78,47.56,43.09,41.23
1,46.68,35.45,42,31.44,27.46
1,31.97,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,55.98,67.7,55.11,58.24,58.9703812636165
1,52.97,57.98,62.42,61.87,58.9703812636165
1,50.3450864600325,53.52,56.1942100943784,56.8397948260481,58.9703812636165
0,39.43,52.0369003285871,44.12,51.6,58.9703812636165
1,40.22,32.25,42.03,24.98,33.84
0,40.57,43.29,43.44,39.1,58.9703812636165
0,52.81,60.25,62.02,56.8397948260481,58.9703812636165
1,57.28,52.0369003285871,42.46,32.19,36.18
0,48.6,49.66,53.82,54.33,53.08
0,43.97,41.89,40.35,56.8397948260481,58.9703812636165
1,56.88,30.48,56.1942100943784,56.8397948260481,63.65
0,36.69,25.42,30.53,35.16,58.9703812636165
0,33.83,45.17,56.1942100943784,49.08,26.27
1,46.16,51.69,51.76,61.97,39.65
0,44.03,52.0369003285871,56.1942100943784,51.02,58.9703812636165
1,56.7,36.32,28.72,56.8397948260481,58.9703812636165
0,50.3450864600325,52.0369003285871,29.35,56.8397948260481,58.9703812636165
1,60.73,32.11,64.69,60.45,58.11
0,45.99,58.25,59,63.24,66.29
1,34.78,45.58,56.1942100943784,56.8397948260481,58.9703812636165
1,47.5,66.85,53.1,66.97,74.92
0,36.94,47.86,45.15,52.22,55.49
0,54.31,61.47,59.56,65.34,74.92
0,60.72,64.29,47.9,45.15,58.9703812636165
1,50.21,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,55.99,57.12,56.37,65.53,64.74
1,69.09,73.99,75.93,74.47,58.9703812636165
0,40.81,51.69,49.79,57.33,58.9703812636165
0,58.41,51.3,59.44,54.14,60.55
1,49.45,50.76,57.64,45.41,58.9703812636165
0,54,56.95,59.49,44.4,41.78
0,56.02,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,49.91,29.29,52.03,56.8397948260481,35.69
0,46.56,58.87,61.61,62.97,39.83
0,37.88,52.0369003285871,44.84,33.65,58.9703812636165
0,52.23,61.22,64.1,56.8397948260481,58.9703812636165
1,34.25,39.21,54.98,42.09,55.52
0,44.09,49.55,56.1942100943784,54.5,33.2
1,72.2,56.26,64.48,56.3,65.01
0,39.28,50.15,58.13,59.48,47.2
0,48.11,59.34,44.28,46.03,58.9703812636165
1,53.03,34.59,33.95,41.91,58.9703812636165
0,50.3450864600325,42.27,54.25,41.46,41.8
0,42.15,54.03,45.13,41.85,25.57
0,41.19,52.0369003285871,56.1942100943784,37.18,58.9703812636165
1,55.59,50.83,53.88,29.89,41.91
1,38.33,52.0369003285871,56.1942100943784,36.31,29.01
0,45.56,52.0369003285871,48,42.47,57.14
1,51.04,54.33,43.03,32.23,58.9703812636165
1,47.81,40.86,51.92,32.08,32
0,46.03,27.85,52.12,55.21,58.9703812636165
0,29.03,42.85,40.77,39.9,58.9703812636165
1,55.03,40.84,65.16,42.57,78.24
1,57.81,52.0369003285871,56.1942100943784,56.8397948260481,58.85
0,47.88,66.69,54.57,58.82,26.6
0,35.27,50.43,62.87,35.6,53.44
1,42.77,41.57,49.02,26.99,24.38
1,50.3450864600325,56.22,55.94,56.8397948260481,58.9703812636165
0,65.04,73.91,79.04,80.7,79.25
1,67.76,58.2,71.76,62.72,58.9703812636165
0,44.96,32.24,50.99,39.55,34.55
1,57.35,32.3,56.1942100943784,27.66,37.56
1,66.98,52.0369003285871,68.04,56.8397948260481,58.9703812636165
1,65.01,71.14,69.14,56.8397948260481,58.9703812636165
0,54.45,55.19,59.76,53.97,38.19
1,41.49,53.85,53.07,41.87,32.59
1,56.84,25.35,56.1942100943784,31.58,28.5
0,45.03,52.0369003285871,35.02,33.1,35.07
1,50.3450864600325,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,41.22,50.14,56.1942100943784,56.52,49.07
1,47.44,51.19,50.34,56.8397948260481,58.9703812636165
0,42.47,46.13,36.65,46.68,30.8
0,41.92,31.22,53.67,37.65,49.02
0,54.88,59.3,67.5,47.05,40.76
0,54.99,55.58,63.52,63.31,61.05
0,42.62,51.38,53.83,57.6,64.98
0,50.3,55.56,51.72,56.53,70.47
1,41.74,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,52.3,65.23,57.54,66.24,60
0,44.33,54.45,55.91,60.75,51.38
0,36.22,52.74,59.21,50.94,58.43
0,43.3,41.79,42.73,46.6,58.9703812636165
0,52,45.5,52.74,53.76,60.83
0,52.15,52.82,56.1942100943784,57.75,37.6
0,45.44,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,50.76,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
0,30.97,52.48,56.1942100943784,56.8397948260481,58.9703812636165
1,62.19,70.53,43.25,56.8397948260481,59.13
1,37.36,70.09,54.79,34.24,58.9703812636165
1,43.74,57.79,47.48,56.8397948260481,51.47
1,47.44,47.27,59.42,63.73,65.32
0,37.59,65.47,40.84,46.31,54.05
1,41.91,55.56,56.1942100943784,56.8397948260481,58.9703812636165
0,47.94,52.0369003285871,52.94,55.55,58.9703812636165
1,49.03,64.29,63.94,60.82,59.21
1,60.34,52.0369003285871,70.06,71.59,78.82
1,71.86,52.04,56.1942100943784,56.8397948260481,85.48
0,34.67,53.65,47.2,56.8397948260481,28.86
0,38.73,58.7,39.97,49.83,40.63
1,44.74,57.91,40.98,56.8397948260481,58.9703812636165
1,64.1,53.76,74.78,69.01,73.19
0,41.06,64.92,56.1942100943784,56.8397948260481,58.9703812636165
1,40.66,60.47,56.1942100943784,56.8397948260481,58.9703812636165
1,45.61,52.0369003285871,56.1942100943784,56.8397948260481,58.9703812636165
1,68.18,65.65,83.55,77.04,81.02
1,64.43,70.09,69.91,56.8397948260481,73.59
1,62.71,67.43,69.33,69.79,77.22
1,50.88,58.51,56.1942100943784,56.8397948260481,58.9703812636165
1,76.66,63.61,74.72,56.8397948260481,80.61
0,53.93,70.09,56.1942100943784,56.8397948260481,66.51
1,56.28,66.82,56.1942100943784,56.8397948260481,58.9703812636165
0,51.2,64.05,56.25,56.8397948260481,55.73
1,52.02,70.09,56.1942100943784,56.8397948260481,50.53
0,64.82,69.76,56.1942100943784,56.8397948260481,41.51
1,44.98,66.11,56.1942100943784,46.98,58.9703812636165
0,50.16,63.9,61.56,60.32,71.2
