"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b[1] 1st Base",0.0983450637733333,0.0983332,0.100699930385353,11805.5,0.95,0.0539802,0.144471,NA,NA,NA,NA,NA,NA,NA
"b[2] 2nd Base",0.0803092648449333,0.08049505,0.0819496198050007,12999.7,0.95,0.0320286,0.127832,NA,NA,NA,NA,NA,NA,NA
"b[3] 3rd Base",0.122005922366667,0.122308,0.125528421377767,12531.3,0.95,0.0764923,0.168821,NA,NA,NA,NA,NA,NA,NA
"b[4] Catcher",0.0298901891776773,0.03000415,0.0304584735039229,12250.6,0.95,-0.0170516,0.074833,NA,NA,NA,NA,NA,NA,NA
"b[5] Center Field",0.124546922425333,0.1244405,0.127334731765263,12702.2,0.95,0.0744781,0.172823,NA,NA,NA,NA,NA,NA,NA
"b[6] Left Field",0.0872502812743333,0.0874785,0.0886019085480181,11575.6,0.95,0.0442219,0.131871,NA,NA,NA,NA,NA,NA,NA
"b[7] Pitcher",-0.742676983266667,-0.742432,-0.733725196318172,2860.5,0.95,-0.826867,-0.659741,NA,NA,NA,NA,NA,NA,NA
"b[8] Right Field",0.127437087726667,0.1274225,0.125683308572662,12793.2,0.95,0.0789273,0.176174,NA,NA,NA,NA,NA,NA,NA
"b[9] Shortstop",0.0728922527536,0.07283305,0.0700346960631611,12646.1,0.95,0.0222177,0.123187,NA,NA,NA,NA,NA,NA,NA
"b0",-1.18461516,-1.18444,-1.18435141437943,5859.4,0.95,-1.20379,-1.16471,NA,NA,NA,NA,NA,NA,NA
"kappa",276.208719,273.6325,266.38623478164,6791.4,0.95,212.289,345.597,NA,NA,NA,NA,NA,NA,NA
"mu[1] 1st Base",0.129923249126667,0.1289805,0.125359933272909,12834.7,0.95,0.090103,0.170644,NA,NA,NA,NA,NA,NA,NA
"mu[2] 2nd Base",0.2475984118,0.2472445,0.247064103032861,15514.6,0.95,0.20922,0.28524,NA,NA,NA,NA,NA,NA,NA
"mu[3] 3rd Base",0.252535936866667,0.252228,0.253100589658584,15000,0.95,0.207002,0.299203,NA,NA,NA,NA,NA,NA,NA
"mu[4] Catcher",0.233470541533333,0.2333445,0.234437784567364,15000,0.95,0.204692,0.260598,NA,NA,NA,NA,NA,NA,NA
"mu[5] Center Field",0.2515380282,0.2509825,0.249690863739368,15000,0.95,0.206781,0.297435,NA,NA,NA,NA,NA,NA,NA
"mu[6] Left Field",0.12942057446,0.1283645,0.127553248907998,12106.3,0.95,0.0904099,0.172158,NA,NA,NA,NA,NA,NA,NA
"mu[7] Pitcher",0.129105625253333,0.1280625,0.126724601043804,11068.6,0.95,0.0885201,0.170047,NA,NA,NA,NA,NA,NA,NA
