y[,1] y[,2]
2.559636 2.611704
1.602201 2.201257
1.971932 2.349335
2.311258 2.2832
2.193475 4.076559
1.37383 2.095035
1.787392 1.863233
1.184588 1.212646
1.991808 2.30778
1.767734 1.818782
1.886034 2.409091
2.125571 1.964455
1.338739 2.059944
1.590053 1.618111
1.47501 1.446952
3.943349 2.737993
1.795259 2.35208
1.435789 1.835176
1.212646 1.695414
3.07054 3.203754
2.473718 2.635754
2.243856 2.215798
3.447652 3.441764
1.653049 1.930486
2.787589 3.063067
2.494736 2.031886
1.989947 2.702737
2.349335 2.115025
1.721325 1.618111
3.256055 3.070527
3.070544 3.519411
1.656188 2.629712
1.866567 2.126185
2.952761 3.085301
2.032793 2.571923
1.669015 1.664954
1.813197 1.743274
1.435789 1.22541
1.838496 1.858876
1.755116 1.792464
1.061823 1.184588
2.391889 2.298836
2.70827 2.767758
1.528672 1.622843
2.908023 3.31442
2.429383 2.457441
1.93556 1.403277
1.47227 1.435789
2.495176 2.388561
2.226042 1.976174
1.305517 1.54115
2.271367 2.243856
2.402089 3.447951
1.695414 1.723472
1.590053 2.283087
1.964677 2.272032
2.058937 2.249299
1.489857 1.838499
2.495176 2.418328
1.476291 1.496963
2.666193 3.065291
1.37383 1.292689
1.695414 1.366797
1.50904 1.338739
1.253468 1.695414
2.262326 2.582604
2.862906 2.623633
1.823995 1.879317
2.613647 2.53166
2.472526 2.79635
1.027996 2.69727
0.979031 1.264631
1.264631 1.279785
2.503228 1.723472
1.683197 2.002898
2.34934 1.954583
2.983532 3.091039
2.546205 2.265214
1.643067 2.311258
1.88957 1.500328
3.082966 3.042486
1.212646 1.184588
1.212646 1.264631
1.58994 1.561882
1.836304 1.338739
1.302371 1.212646
2.265952 1.905793
1.358941 1.73357
2.608272 1.837347
2.639762 2.611704
2.425331 2.611704
2.272026 2.298034
2.006317 2.168537
2.128937 1.66289
2.407382 2.741115
2.230932 1.435789
1.790724 2.271593
3.006001 3.758106
2.651275 1.877735
1.992662 1.500328
2.78213 1.877735
2.571923 2.411606
2.707015 2.847102
2.650925 2.384095
2.226042 1.578879
1.500328 1.790724
1.338739 1.253468
2.511929 2.7548
2.416619 1.407732
1.672178 1.407732
1.841254 1.835176
2.100879 2.639762
1.903807 1.744204
1.879317 2.08971
1.672178 1.704968
3.433447 3.41405
1.423717 3.017169
1.285112 2.748957
2.754071 3.187884
2.7548 3.006001
2.272026 2.350339
1.674209 1.148107
1.648209 1.64412
2.59894 2.141701
2.133668 2.494736
3.165853 2.784893
2.608509 2.298034
2.2132 2.481751
2.531578 2.154247
2.477243 2.013867
2.559712 2.572475
2.023576 1.47227
2.08971 1.751487
2.489096 2.639762
2.008406 1.971928
2.315516 2.349335
1.338739 1.366797
1.723472 1.877735
2.031886 1.905793
1.212646 1.152839
1.500328 1.695414
3.591051 3.699152
2.154253 2.074891
2.637017 2.748957
1.366797 1.695414
1.793464 2.557637
1.567879 2.08971
2.128937 1.338739
1.317077 0.9762571
2.605861 2.422962
2.243968 2.166666
1.957778 1.863233
1.332895 1.051057
1.407732 2.568696
1.264631 1.618111
1.561882 1.618111
2.064617 2.018814
2.747685 2.847102
1.561882 1.307956
1.785342 1.616837
1.515832 1.975221
2.506344 2.548743
2.272026 2.545564
2.211227 1.618111
2.310599 2.40404
2.324022 1.58994
2.035451 2.059944
1.152542 1.124484
2.33378 2.100879
1.58994 1.590053
1.748164 1.744204
2.271367 2.377397
3.242394 3.360939
1.366797 1.312421
1.748164 1.550821
1.879331 2.243752
1.957778 1.971922
2.460881 2.59894
2.50463 2.794026
1.318006 1.845431
1.73622 2.590572
2.215798 2.195066
1.902937 2.027752
2.908953 2.937011
2.381536 1.723472
2.031886 1.723472
2.221646 2.782974
1.264631 1.413317
2.000075 1.385259
2.639762 2.066977
1.695414 1.985836
1.528782 1.465642
1.772375 1.709373
1.532895 1.500328
2.339279 2.285279
1.236176 1.496017
1.64551 2.403449
2.100879 2.830383
1.860928 1.808207
2.059944 2.347478
1.355747 1.37696
2.391301 2.512988
3.053526 3.206136
2.02072 2.031886
2.061535 2.363243
1.163856 1.47227
3.204076 3.017169
1.858002 1.751321
1.993654 1.952959
2.149669 1.905793
1.918557 1.366797
2.243535 2.377098
2.444468 2.61956
3.46569 2.031886
1.873003 2.063869
2.577113 2.588469
2.386058 1.905793
2.716723 2.713539
2.559714 2.852866
1.47227 1.366797
1.411097 2.611704
2.665075 2.637017
0.9630403 1.203269
1.107285 2.061653
2.496661 1.646573
3.541548 2.509007
3.079455 2.289921
2.226042 2.126081
2.782852 2.607696
2.2832 1.797341
1.877735 1.435789
2.30429 2.531578
1.548073 1.664438
2.324022 1.373914
2.416619 3.012025
1.767734 1.212646
3.017169 2.965181
2.31888 2.983532
2.897678 2.819343
1.907375 2.081356
2.059944 1.860928
2.531546 3.671094
3.109766 3.447951
1.866532 1.250688
2.38487 2.030885
1.5311 1.590053
2.538659 2.572475
2.59894 2.795618
3.081708 3.070542
1.667959 1.992655
2.819343 3.013383
2.611704 2.128937
2.572475 2.182477
2.639762 2.572475
1.58994 2.349339
2.003773 2.185526
1.578879 1.612032
1.826442 1.173385
2.183705 2.243968
2.685809 2.336568
2.416619 2.454692
1.520947 1.707342
1.859749 1.847231
1.984652 2.440204
2.226042 2.2541
2.623526 2.639762
2.976234 3.07418
2.377397 2.894565
1.979405 1.695414
1.600416 2.929442
3.081708 2.59894
2.377397 2.834848
1.618111 1.695414
1.152542 1.184588
1.382545 1.47227
1.723472 2.560411
2.685698 2.639762
2.133668 2.128937
2.78213 2.80067
2.100879 1.932922
2.005569 2.310188
1.918557 1.946615
1.838496 1.946615
1.983096 1.505316
2.081923 1.550388
2.2541 1.89913
1.839514 1.723472
1.407732 1.5311
2.377098 2.100879
1.617452 1.700714
2.545564 1.059883
3.005793 2.226042
1.723472 1.800774
2.128937 2.081076
2.6082 2.745123
2.059944 2.084749
2.516464 1.776671
2.154247 1.838496
2.570882 2.600533
1.079115 1.47227
2.35208 1.918557
1.723472 2.226042
2.150437 1.897538
1.790724 1.682649
1.775456 2.059944
1.366797 1.264631
2.011154 2.349339
2.036162 1.942161
2.794026 1.58994
2.283087 2.215798
1.407732 2.041925
1.618111 1.604394
1.946615 2.977943
1.338739 1.468579
2.611704 1.902083
1.785026 2.488939
2.611704 2.600533
2.122499 2.243968
1.813197 1.565647
1.561882 1.54554
1.64412 2.145466
2.272026 2.70601
3.042484 3.332909
2.206239 2.347403
2.646936 2.031886
1.744204 2.059944
2.34904 1.723472
2.100879 2.360313
2.337267 2.193475
1.956296 1.927188
2.496294 2.271593
1.863831 1.366796
2.559712 2.572475
1.47227 1.435789
1.170086 1.184588
1.790724 1.079115
2.208979 1.751503
1.54881 1.576868
1.695414 2.08971
2.034901 2.467118
1.417766 0.9910637
1.500328 1.932854
2.386675 2.419575
2.048449 2.153471
2.224865 2.116864
1.407732 2.126844
2.349339 2.377397
3.091277 3.332909
2.517154 2.667792
2.388561 2.59894
1.858854 1.927772
1.407732 1.435789
2.100879 2.128937
2.166666 2.215798
2.462229 2.621655
1.985836 1.695414
3.215127 2.202231
2.100879 2.006317
2.088115 1.89098
2.65571 2.670066
2.388561 2.822084
1.723472 1.957778
2.128937 1.914549
2.416619 2.388561
2.041925 2.324022
2.658588 2.208979
2.642159 3.147844
1.618111 2.052088
2.231556 2.377397
2.820244 3.150701
2.395887 1.841254
1.532895 1.723472
2.272026 2.243968
1.988083 1.723472
1.170086 1.896721
1.170086 1.823807
1.278746 2.3493
2.206239 2.234297
2.656824 2.194516
1.946172 1.895322
1.435789 1.440521
1.860621 1.47227
1.212646 1.264631
2.126189 1.818782
1.723472 1.407732
2.506344 2.782858
2.174986 2.378397
2.490948 2.465409
1.435789 1.590053
1.698154 1.744204
1.47227 1.292689
1.578879 2.215798
1.461091 1.761534
2.243856 2.388561
2.349339 1.672178
1.47227 2.254688
1.991726 2.048223
2.349339 2.377397
2.782858 2.669806
1.318006 1.338739
2.037584 2.193475
2.731566 2.703508
2.293251 2.531731
1.749139 1.957778
1.864971 1.64412
1.380703 1.500328
2.735072 2.7548
2.794026 1.905793
2.377397 2.555188
2.349339 2.243856
2.239285 2.267522
2.459678 1.454252
1.863233 1.877735
1.338739 1.366797
1.407732 1.212646
2.665075 2.637017
2.416619 2.388561
2.324022 1.756261
2.457441 2.667792
2.255029 2.288785
1.590053 1.408761
1.617452 1.462107
1.814226 2.084072
2.110857 2.858564
2.128937 1.918557
1.695414 1.560953
1.488131 1.393823
1.030324 1.002266
2.019866 2.255029
1.265396 2.466678
2.559714 2.685809
2.571923 2.862906
1.584209 2.320014
1.672178 1.88851
1.704034 1.914549
2.019866 1.717664
3.042484 3.210307
1.818782 1.695414
2.023576 2.013867
3.433447 3.616284
1.684237 1.704968
3.042373 3.699152
2.061653 2.283087
2.904687 3.160269
1.877735 2.401505
1.745844 1.683993
