y[,1] sex[] internet[,1] y[,2] internet[,2]
2.559636 1 1 2.611704 1
2.201257 0 0 1.602201 1
1.971932 1 0 2.349335 1
2.311258 1 1 2.2832 0
2.193475 0 1 4.076559 0
2.095035 0 1 1.37383 1
1.863233 1 1 1.787392 1
1.212646 0 0 1.184588 0
2.30778 1 0 1.991808 0
1.818782 0 0 1.767734 1
2.409091 1 0 1.886034 1
1.964455 0 0 2.125571 0
2.059944 1 0 1.338739 0
1.618111 1 0 1.590053 0
1.47501 0 0 1.446952 1
3.943349 1 1 2.737993 1
2.35208 0 1 1.795259 1
1.435789 1 1 1.835176 1
1.212646 0 1 1.695414 1
3.07054 1 1 3.203754 1
2.635754 1 0 2.473718 0
2.243856 1 0 2.215798 1
3.441764 1 1 3.447652 1
1.653049 0 1 1.930486 0
3.063067 1 1 2.787589 1
2.494736 1 0 2.031886 1
2.702737 0 1 1.989947 1
2.115025 1 0 2.349335 0
1.618111 1 0 1.721325 0
3.070527 0 1 3.256055 1
3.070544 1 1 3.519411 1
2.629712 1 1 1.656188 1
1.866567 0 1 2.126185 1
2.952761 1 1 3.085301 1
2.032793 1 1 2.571923 1
1.669015 0 1 1.664954 0
1.743274 1 0 1.813197 0
1.435789 1 1 1.22541 0
1.858876 0 1 1.838496 1
1.792464 1 1 1.755116 1
1.061823 0 1 1.184588 1
2.298836 1 1 2.391889 1
2.70827 0 1 2.767758 1
1.528672 0 0 1.622843 0
2.908023 1 1 3.31442 1
2.457441 0 1 2.429383 1
1.93556 1 1 1.403277 1
1.435789 0 0 1.47227 0
2.495176 0 0 2.388561 1
1.976174 1 0 2.226042 0
1.54115 0 1 1.305517 1
2.243856 0 1 2.271367 1
2.402089 0 1 3.447951 1
1.723472 0 0 1.695414 1
2.283087 0 1 1.590053 1
2.272032 0 1 1.964677 0
2.058937 0 0 2.249299 0
1.489857 1 0 1.838499 0
2.495176 1 1 2.418328 1
1.476291 0 0 1.496963 0
3.065291 1 1 2.666193 1
1.292689 0 1 1.37383 1
1.366797 0 0 1.695414 0
1.50904 1 0 1.338739 0
1.253468 0 0 1.695414 1
2.582604 1 1 2.262326 1
2.862906 1 1 2.623633 1
1.823995 0 1 1.879317 1
2.613647 0 1 2.53166 1
2.472526 1 1 2.79635 1
1.027996 1 1 2.69727 0
0.979031 0 0 1.264631 0
1.279785 0 0 1.264631 0
1.723472 1 1 2.503228 1
1.683197 0 1 2.002898 1
1.954583 0 1 2.34934 1
2.983532 1 1 3.091039 1
2.265214 1 1 2.546205 1
2.311258 0 1 1.643067 1
1.500328 1 1 1.88957 1
3.082966 1 1 3.042486 1
1.212646 0 0 1.184588 0
1.212646 1 0 1.264631 0
1.58994 1 0 1.561882 0
1.836304 0 0 1.338739 1
1.212646 1 0 1.302371 0
1.905793 1 1 2.265952 1
1.73357 0 1 1.358941 1
2.608272 1 0 1.837347 0
2.639762 0 1 2.611704 1
2.425331 1 1 2.611704 0
2.272026 0 1 2.298034 1
2.006317 1 1 2.168537 1
2.128937 0 1 1.66289 0
2.741115 1 1 2.407382 0
1.435789 1 1 2.230932 1
2.271593 0 0 1.790724 0
3.006001 0 1 3.758106 1
2.651275 0 1 1.877735 1
1.500328 1 1 1.992662 1
2.78213 1 1 1.877735 1
2.411606 1 0 2.571923 0
2.847102 1 0 2.707015 1
2.384095 0 0 2.650925 0
1.578879 1 0 2.226042 0
1.500328 0 0 1.790724 0
1.253468 0 0 1.338739 0
2.511929 1 1 2.7548 1
2.416619 0 0 1.407732 0
1.672178 0 1 1.407732 1
1.841254 1 0 1.835176 1
2.639762 0 1 2.100879 1
1.903807 1 1 1.744204 1
2.08971 0 0 1.879317 1
1.672178 0 1 1.704968 1
3.433447 0 1 3.41405 1
1.423717 1 0 3.017169 1
2.748957 1 1 1.285112 0
3.187884 0 1 2.754071 1
3.006001 1 1 2.7548 1
2.272026 0 1 2.350339 1
1.148107 1 1 1.674209 1
1.648209 1 0 1.64412 0
2.59894 0 1 2.141701 1
2.494736 1 1 2.133668 1
3.165853 1 1 2.784893 0
2.608509 1 0 2.298034 0
2.481751 0 1 2.2132 1
2.154247 0 1 2.531578 0
2.477243 1 1 2.013867 0
2.559712 0 0 2.572475 1
2.023576 1 0 1.47227 0
2.08971 0 0 1.751487 1
2.639762 1 1 2.489096 1
1.971928 1 1 2.008406 0
2.315516 0 1 2.349335 1
1.366797 0 0 1.338739 0
1.723472 0 0 1.877735 0
1.905793 1 1 2.031886 0
1.212646 1 0 1.152839 0
1.500328 0 0 1.695414 0
3.699152 1 1 3.591051 1
2.154253 1 1 2.074891 1
2.748957 0 1 2.637017 1
1.366797 0 1 1.695414 1
1.793464 0 1 2.557637 1
2.08971 1 1 1.567879 1
2.128937 0 0 1.338739 0
0.9762571 1 0 1.317077 1
2.605861 1 1 2.422962 1
2.166666 0 1 2.243968 1
1.863233 1 1 1.957778 0
1.332895 0 0 1.051057 0
2.568696 0 0 1.407732 1
1.618111 0 1 1.264631 1
1.618111 0 0 1.561882 0
2.064617 1 1 2.018814 0
2.847102 1 1 2.747685 1
1.307956 0 0 1.561882 0
1.785342 0 1 1.616837 1
1.515832 0 1 1.975221 1
2.548743 1 1 2.506344 1
2.272026 0 1 2.545564 1
1.618111 0 1 2.211227 1
2.40404 1 0 2.310599 1
1.58994 0 0 2.324022 1
2.059944 1 0 2.035451 0
1.152542 0 0 1.124484 0
2.33378 1 1 2.100879 1
1.58994 0 1 1.590053 0
1.748164 1 1 1.744204 1
2.377397 0 1 2.271367 1
3.242394 1 1 3.360939 1
1.366797 0 0 1.312421 0
1.748164 1 1 1.550821 0
2.243752 0 1 1.879331 1
1.971922 1 1 1.957778 1
2.59894 0 1 2.460881 1
2.50463 0 1 2.794026 1
1.318006 1 1 1.845431 1
2.590572 0 0 1.73622 1
2.195066 0 1 2.215798 1
1.902937 1 1 2.027752 1
2.937011 1 1 2.908953 1
1.723472 1 0 2.381536 0
1.723472 0 1 2.031886 1
2.221646 0 1 2.782974 1
1.413317 1 1 1.264631 1
2.000075 1 0 1.385259 0
2.639762 1 0 2.066977 0
1.985836 0 0 1.695414 0
1.465642 1 0 1.528782 0
1.709373 0 0 1.772375 1
1.500328 1 1 1.532895 1
2.285279 1 1 2.339279 1
1.236176 0 1 1.496017 1
1.64551 0 0 2.403449 0
2.830383 1 0 2.100879 0
1.808207 0 1 1.860928 1
2.059944 1 1 2.347478 1
1.355747 0 1 1.37696 1
2.391301 1 0 2.512988 0
3.053526 1 1 3.206136 1
2.02072 0 1 2.031886 1
2.061535 1 1 2.363243 1
1.163856 0 0 1.47227 0
3.204076 0 1 3.017169 1
1.858002 0 0 1.751321 1
1.993654 0 0 1.952959 1
1.905793 0 0 2.149669 0
1.366797 1 0 1.918557 0
2.377098 0 0 2.243535 1
2.61956 1 0 2.444468 1
3.46569 1 0 2.031886 0
1.873003 0 0 2.063869 1
2.588469 1 1 2.577113 1
1.905793 1 1 2.386058 1
2.716723 0 1 2.713539 1
2.559714 0 1 2.852866 1
1.366797 0 1 1.47227 1
1.411097 0 1 2.611704 1
2.665075 1 1 2.637017 1
1.203269 0 1 0.9630403 1
1.107285 1 1 2.061653 1
2.496661 0 1 1.646573 1
3.541548 1 0 2.509007 0
2.289921 1 1 3.079455 1
2.126081 1 1 2.226042 1
2.782852 0 1 2.607696 1
1.797341 1 1 2.2832 1
1.435789 1 1 1.877735 0
2.30429 1 1 2.531578 1
1.664438 0 1 1.548073 1
1.373914 0 0 2.324022 0
2.416619 1 1 3.012025 1
1.212646 1 1 1.767734 1
2.965181 0 0 3.017169 1
2.983532 1 1 2.31888 1
2.897678 1 1 2.819343 1
1.907375 0 1 2.081356 1
2.059944 0 0 1.860928 0
2.531546 1 1 3.671094 1
3.109766 1 1 3.447951 1
1.866532 0 1 1.250688 1
2.38487 1 1 2.030885 1
1.5311 0 1 1.590053 1
2.538659 1 1 2.572475 0
2.59894 0 0 2.795618 0
3.070542 1 1 3.081708 1
1.667959 0 1 1.992655 0
3.013383 1 1 2.819343 1
2.128937 1 0 2.611704 1
2.182477 1 1 2.572475 1
2.639762 0 1 2.572475 1
1.58994 1 1 2.349339 1
2.003773 1 1 2.185526 0
1.578879 1 0 1.612032 0
1.173385 0 0 1.826442 0
2.183705 0 0 2.243968 1
2.336568 1 1 2.685809 1
2.416619 0 1 2.454692 1
1.520947 1 1 1.707342 1
1.859749 0 1 1.847231 1
1.984652 1 0 2.440204 0
2.2541 1 0 2.226042 0
2.639762 0 0 2.623526 0
2.976234 1 1 3.07418 1
2.377397 1 0 2.894565 1
1.979405 0 1 1.695414 1
2.929442 1 1 1.600416 0
2.59894 0 1 3.081708 1
2.377397 0 1 2.834848 1
1.618111 1 0 1.695414 0
1.152542 0 0 1.184588 0
1.382545 0 1 1.47227 1
1.723472 0 0 2.560411 1
2.639762 0 0 2.685698 0
2.128937 1 1 2.133668 1
2.78213 1 1 2.80067 1
1.932922 0 0 2.100879 1
2.310188 1 1 2.005569 1
1.946615 0 1 1.918557 1
1.946615 0 1 1.838496 1
1.505316 0 1 1.983096 1
2.081923 1 1 1.550388 1
2.2541 1 1 1.89913 1
1.723472 1 0 1.839514 0
1.5311 0 0 1.407732 0
2.377098 1 1 2.100879 1
1.700714 0 0 1.617452 1
1.059883 1 0 2.545564 1
3.005793 1 1 2.226042 0
1.723472 1 1 1.800774 1
2.128937 0 1 2.081076 1
2.745123 1 1 2.6082 1
2.059944 1 1 2.084749 1
2.516464 0 1 1.776671 1
2.154247 1 1 1.838496 1
2.600533 0 1 2.570882 1
1.079115 1 0 1.47227 0
2.35208 0 1 1.918557 1
1.723472 1 0 2.226042 0
2.150437 0 0 1.897538 0
1.682649 1 0 1.790724 0
2.059944 1 1 1.775456 0
1.366797 0 0 1.264631 0
2.011154 0 1 2.349339 1
1.942161 1 1 2.036162 1
1.58994 1 1 2.794026 1
2.283087 0 0 2.215798 1
2.041925 1 0 1.407732 1
1.618111 0 1 1.604394 1
1.946615 0 1 2.977943 0
1.468579 0 1 1.338739 1
1.902083 1 1 2.611704 0
2.488939 0 1 1.785026 1
2.600533 1 1 2.611704 1
2.122499 0 1 2.243968 1
1.565647 1 1 1.813197 1
1.54554 0 0 1.561882 0
2.145466 1 1 1.64412 0
2.272026 1 0 2.70601 1
3.332909 1 1 3.042484 1
2.347403 1 1 2.206239 1
2.646936 0 1 2.031886 1
2.059944 1 1 1.744204 0
1.723472 0 1 2.34904 0
2.360313 1 0 2.100879 0
2.193475 1 0 2.337267 0
1.927188 0 0 1.956296 1
2.271593 0 1 2.496294 1
1.366796 1 1 1.863831 0
2.559712 0 1 2.572475 1
1.435789 0 1 1.47227 1
1.170086 0 0 1.184588 0
1.079115 0 0 1.790724 1
2.208979 0 1 1.751503 1
1.576868 0 1 1.54881 1
2.08971 0 1 1.695414 1
2.034901 1 1 2.467118 1
0.9910637 0 1 1.417766 1
1.500328 1 0 1.932854 0
2.386675 1 1 2.419575 1
2.048449 0 1 2.153471 1
2.116864 1 0 2.224865 0
2.126844 0 1 1.407732 1
2.377397 1 1 2.349339 1
3.332909 1 1 3.091277 1
2.517154 0 1 2.667792 1
2.59894 1 1 2.388561 1
1.927772 0 1 1.858854 1
1.435789 0 0 1.407732 0
2.128937 1 1 2.100879 0
2.166666 1 1 2.215798 0
2.462229 1 0 2.621655 1
1.985836 1 0 1.695414 0
3.215127 1 1 2.202231 1
2.006317 0 0 2.100879 1
2.088115 0 1 1.89098 1
2.670066 0 1 2.65571 1
2.822084 1 0 2.388561 0
1.723472 1 0 1.957778 0
2.128937 0 1 1.914549 1
2.416619 1 0 2.388561 1
2.041925 0 0 2.324022 1
2.208979 1 0 2.658588 1
2.642159 1 1 3.147844 1
1.618111 0 1 2.052088 1
2.377397 0 1 2.231556 1
2.820244 1 1 3.150701 1
1.841254 1 1 2.395887 0
1.723472 0 0 1.532895 1
2.272026 0 1 2.243968 1
1.723472 0 0 1.988083 1
1.170086 0 1 1.896721 1
1.170086 1 1 1.823807 1
1.278746 0 1 2.3493 1
2.234297 1 1 2.206239 1
2.194516 1 1 2.656824 1
1.895322 0 1 1.946172 0
1.435789 1 0 1.440521 0
1.860621 1 1 1.47227 0
1.212646 1 1 1.264631 0
1.818782 0 1 2.126189 1
1.723472 0 1 1.407732 1
2.782858 1 1 2.506344 1
2.378397 1 1 2.174986 1
2.465409 1 1 2.490948 1
1.435789 1 0 1.590053 1
1.698154 0 0 1.744204 1
1.292689 0 1 1.47227 1
1.578879 1 1 2.215798 1
1.461091 0 1 1.761534 1
2.243856 0 1 2.388561 1
1.672178 0 1 2.349339 1
2.254688 1 0 1.47227 0
1.991726 1 1 2.048223 1
2.377397 0 1 2.349339 1
2.782858 1 1 2.669806 1
1.318006 0 1 1.338739 1
2.193475 1 1 2.037584 1
2.731566 1 1 2.703508 1
2.531731 1 0 2.293251 0
1.749139 0 1 1.957778 1
1.864971 0 0 1.64412 1
1.500328 1 0 1.380703 1
2.735072 1 1 2.7548 1
1.905793 0 1 2.794026 1
2.377397 1 1 2.555188 1
2.243856 0 1 2.349339 1
2.239285 1 1 2.267522 1
2.459678 0 0 1.454252 1
1.863233 1 0 1.877735 0
1.366797 0 0 1.338739 0
1.212646 1 0 1.407732 1
2.665075 1 1 2.637017 1
2.416619 0 1 2.388561 1
1.756261 0 1 2.324022 1
2.457441 1 1 2.667792 1
2.288785 0 0 2.255029 1
1.408761 0 1 1.590053 1
1.462107 0 0 1.617452 0
1.814226 0 1 2.084072 1
2.110857 0 0 2.858564 1
2.128937 1 0 1.918557 0
1.560953 0 0 1.695414 0
1.488131 1 0 1.393823 0
1.030324 0 0 1.002266 0
2.019866 1 1 2.255029 1
1.265396 0 1 2.466678 1
2.559714 1 0 2.685809 1
2.862906 1 1 2.571923 1
1.584209 1 0 2.320014 0
1.672178 0 0 1.88851 1
1.704034 0 1 1.914549 1
2.019866 0 1 1.717664 1
3.210307 1 1 3.042484 1
1.818782 0 0 1.695414 0
2.023576 0 0 2.013867 0
3.433447 0 1 3.616284 1
1.684237 0 1 1.704968 1
3.699152 1 1 3.042373 1
2.283087 1 0 2.061653 1
2.904687 1 1 3.160269 1
2.401505 1 0 1.877735 0
1.683993 0 0 1.745844 0
1.684237 1 1 2.098015 1
2.559712 0 1 2.667792 1
1.922322 0 0 1.53876 0
1.723472 1 0 1.802473 0
1.366797 0 0 1.550388 0
1.64341 1 1 2.127196 1
2.377389 1 1 1.877735 1
1.985836 1 0 1.957778 0
2.376838 0 1 2.126195 1
1.946615 0 1 2.171648 1
2.416619 1 0 1.695414 1
