y[,1] y[,2] sex[]
2.559636 2.611704 1
1.602201 2.201257 0
1.971932 2.349335 1
2.311258 2.2832 1
2.193475 4.076559 0
1.37383 2.095035 0
1.787392 1.863233 1
1.184588 1.212646 0
1.991808 2.30778 1
1.767734 1.818782 0
1.886034 2.409091 1
2.125571 1.964455 0
1.338739 2.059944 1
1.590053 1.618111 1
1.47501 1.446952 0
3.943349 2.737993 1
1.795259 2.35208 0
1.435789 1.835176 1
1.212646 1.695414 0
3.07054 3.203754 1
2.473718 2.635754 1
2.243856 2.215798 1
3.447652 3.441764 1
1.653049 1.930486 0
2.787589 3.063067 1
2.494736 2.031886 1
1.989947 2.702737 0
2.349335 2.115025 1
1.721325 1.618111 1
3.256055 3.070527 0
3.070544 3.519411 1
1.656188 2.629712 1
1.866567 2.126185 0
2.952761 3.085301 1
2.032793 2.571923 1
1.669015 1.664954 0
1.813197 1.743274 1
1.435789 1.22541 1
1.838496 1.858876 0
1.755116 1.792464 1
1.061823 1.184588 0
2.391889 2.298836 1
2.70827 2.767758 0
1.528672 1.622843 0
2.908023 3.31442 1
2.429383 2.457441 0
1.93556 1.403277 1
1.47227 1.435789 0
2.495176 2.388561 0
2.226042 1.976174 1
1.305517 1.54115 0
2.271367 2.243856 0
2.402089 3.447951 0
1.695414 1.723472 0
1.590053 2.283087 0
1.964677 2.272032 0
2.058937 2.249299 0
1.489857 1.838499 1
2.495176 2.418328 1
1.476291 1.496963 0
2.666193 3.065291 1
1.37383 1.292689 0
1.695414 1.366797 0
1.50904 1.338739 1
1.253468 1.695414 0
2.262326 2.582604 1
2.862906 2.623633 1
1.823995 1.879317 0
2.613647 2.53166 0
2.472526 2.79635 1
1.027996 2.69727 1
0.979031 1.264631 0
1.264631 1.279785 0
2.503228 1.723472 1
1.683197 2.002898 0
2.34934 1.954583 0
2.983532 3.091039 1
2.546205 2.265214 1
1.643067 2.311258 0
1.88957 1.500328 1
3.082966 3.042486 1
1.212646 1.184588 0
1.212646 1.264631 1
1.58994 1.561882 1
1.836304 1.338739 0
1.302371 1.212646 1
2.265952 1.905793 1
1.358941 1.73357 0
2.608272 1.837347 1
2.639762 2.611704 0
2.425331 2.611704 1
2.272026 2.298034 0
2.006317 2.168537 1
2.128937 1.66289 0
2.407382 2.741115 1
2.230932 1.435789 1
1.790724 2.271593 0
3.006001 3.758106 0
2.651275 1.877735 0
1.992662 1.500328 1
2.78213 1.877735 1
2.571923 2.411606 1
2.707015 2.847102 1
2.650925 2.384095 0
2.226042 1.578879 1
1.500328 1.790724 0
1.338739 1.253468 0
2.511929 2.7548 1
2.416619 1.407732 0
1.672178 1.407732 0
1.841254 1.835176 1
2.100879 2.639762 0
1.903807 1.744204 1
1.879317 2.08971 0
1.672178 1.704968 0
3.433447 3.41405 0
1.423717 3.017169 1
1.285112 2.748957 1
2.754071 3.187884 0
2.7548 3.006001 1
2.272026 2.350339 0
1.674209 1.148107 1
1.648209 1.64412 1
2.59894 2.141701 0
2.133668 2.494736 1
3.165853 2.784893 1
2.608509 2.298034 1
2.2132 2.481751 0
2.531578 2.154247 0
2.477243 2.013867 1
2.559712 2.572475 0
2.023576 1.47227 1
2.08971 1.751487 0
2.489096 2.639762 1
2.008406 1.971928 1
2.315516 2.349335 0
1.338739 1.366797 0
1.723472 1.877735 0
2.031886 1.905793 1
1.212646 1.152839 1
1.500328 1.695414 0
3.591051 3.699152 1
2.154253 2.074891 1
2.637017 2.748957 0
1.366797 1.695414 0
1.793464 2.557637 0
1.567879 2.08971 1
2.128937 1.338739 0
1.317077 0.9762571 1
2.605861 2.422962 1
2.243968 2.166666 0
1.957778 1.863233 1
1.332895 1.051057 0
1.407732 2.568696 0
1.264631 1.618111 0
1.561882 1.618111 0
2.064617 2.018814 1
2.747685 2.847102 1
1.561882 1.307956 0
1.785342 1.616837 0
1.515832 1.975221 0
2.506344 2.548743 1
2.272026 2.545564 0
2.211227 1.618111 0
2.310599 2.40404 1
2.324022 1.58994 0
2.035451 2.059944 1
1.152542 1.124484 0
2.33378 2.100879 1
1.58994 1.590053 0
1.748164 1.744204 1
2.271367 2.377397 0
3.242394 3.360939 1
1.366797 1.312421 0
1.748164 1.550821 1
1.879331 2.243752 0
1.957778 1.971922 1
2.460881 2.59894 0
2.50463 2.794026 0
1.318006 1.845431 1
1.73622 2.590572 0
2.215798 2.195066 0
1.902937 2.027752 1
2.908953 2.937011 1
2.381536 1.723472 1
2.031886 1.723472 0
2.221646 2.782974 0
1.264631 1.413317 1
2.000075 1.385259 1
